"transaction_id","customer_id","card_id","transaction_datetime","transaction_amount","merchant_category","merchant_name","merchant_city","merchant_state","merchant_country","transaction_type","card_type","customer_age","customer_gender","customer_income_bracket","customer_segment","transaction_currency","is_international","card_issuer_bank","transaction_status","customer_postal_code","customer_country"
"TXN000001","CUST0001","CARD0001","2024-06-01T09:42:18","120.5","groceries","FreshMarket","New York","NY","USA","purchase","Visa","22","female","low","student","USD","false","Chase","completed","10013","USA"
"TXN000002","CUST0002","CARD0002","2024-06-01T16:37:04","350","dining","UrbanBistro","London","LDN","GBR","purchase","MasterCard","27","male","medium","standard","GBP","true","Barclays","completed","W1D4FA","USA"
"TXN000003","CUST0003","CARD0003","2024-06-02T10:10:29","45.75","retail","QuickMart","Chicago","IL","USA","purchase","Visa","33","female","medium","standard","USD","false","Bank of America","completed","60611","USA"
"TXN000004","CUST0004","CARD0004","2024-06-02T18:25:47","-65.3","retail","QuickMart","Chicago","IL","USA","refund","Visa","33","female","medium","standard","USD","false","Bank of America","completed","60611","USA"
"TXN000005","CUST0005","CARD0005","2024-06-03T11:55:03","2500","travel","FlyHighAir","Dubai","DU","ARE","purchase","Amex","51","male","high","premium","AED","true","EmiratesNBD","completed","10123","USA"
"TXN000006","CUST0006","CARD0006","2024-06-03T12:44:21","510.2","groceries","GreenGrocer","Berlin","BE","DEU","purchase","MasterCard","40","female","medium","standard","EUR","true","DeutscheBank","completed","10178","USA"
"TXN000007","CUST0007","CARD0007","2024-06-04T09:16:22","86","dining","CafeParis","Paris","IDF","FRA","purchase","Visa","26","other","medium","student","EUR","true","BNPParibas","completed","75006","USA"
"TXN000008","CUST0008","CARD0008","2024-06-04T13:27:12","44.99","retail","UrbanThreads","Toronto","ON","CAN","purchase","Visa","21","female","low","student","CAD","false","RoyalBank","completed","M5V3C6","CAN"
"TXN000009","CUST0009","CARD0009","2024-06-04T19:55:45","320","entertainment","CinemaWorld","London","LDN","GBR","purchase","MasterCard","24","male","medium","student","GBP","true","HSBC","completed","N1C4AH","USA"
"TXN000010","CUST0010","CARD0010","2024-06-05T08:05:13","89.99","groceries","DailyFresh","Melbourne","VIC","AUS","purchase","Visa","25","female","medium","student","AUD","true","Westpac","completed","3006","USA"
"TXN000011","CUST0011","CARD0011","2024-06-05T12:15:54","70.25","retail","StyleDepot","Mumbai","MH","IND","purchase","MasterCard","30","male","medium","standard","INR","false","HDFC","completed","400021","IND"
"TXN000012","CUST0002","CARD0002","2024-06-05T18:22:38","6500","jewelry","GenevaJewels","Geneva","GE","CHE","purchase","Amex","59","female","high","premium","CHF","true","UBS","completed","1201","USA"
"TXN000013","CUST0012","CARD0012","2024-06-06T07:41:30","35","groceries","FreshMarket","New York","NY","USA","purchase","Visa","18","female","low","student","USD","false","Chase","completed","10012","USA"
"TXN000014","CUST0013","CARD0013","2024-06-06T13:19:43","12000","automotive","AutoWorld","Tokyo","13","JPN","purchase","Visa","74","male","high","premium","JPY","true","MUFG","completed","160-0022","USA"
"TXN000015","CUST0014","CARD0014","2024-06-07T09:03:17","87.9","dining","UrbanBistro","London","LDN","GBR","purchase","MasterCard","23","male","medium","student","GBP","true","Barclays","completed","SW1A1AA","USA"
"TXN000016","CUST0015","CARD0015","2024-06-07T14:28:19","375","electronics","GadgetStore","Berlin","BE","DEU","purchase","Visa","37","female","medium","standard","EUR","true","DeutscheBank","completed","10999","USA"
"TXN000017","CUST0016","CARD0016","2024-06-08T10:54:22","125","groceries","GreenGrocer","Berlin","BE","DEU","purchase","MasterCard","44","male","medium","standard","EUR","true","Commerzbank","completed","10557","USA"
"TXN000018","CUST0004","CARD0004","2024-06-08T15:32:09","119","retail","QuickMart","Chicago","IL","USA","purchase","Visa","33","female","medium","standard","USD","false","Bank of America","completed","60611","USA"
"TXN000019","CUST0017","CARD0017","2024-06-09T11:43:06","900","healthcare","MedCare","Paris","IDF","FRA","purchase","Amex","65","female","high","premium","EUR","true","BNPParibas","completed","75015","USA"
"TXN000020","CUST0018","CARD0018","2024-06-09T17:10:56","180.1","dining","CafeParis","Paris","IDF","FRA","purchase","Visa","29","male","medium","standard","EUR","true","BNPParibas","completed","75007","USA"
"TXN000021","CUST0019","CARD0019","2024-06-10T09:57:15","-120.45","travel","FlyHighAir","Dubai","DU","ARE","refund","Amex","51","male","high","premium","AED","true","EmiratesNBD","completed","10123","USA"
"TXN000022","CUST0020","CARD0020","2024-06-10T13:24:33","499.99","utilities","PowerGrid","Toronto","ON","CAN","purchase","MasterCard","42","female","medium","standard","CAD","false","TD","completed","M4B1B3","CAN"
"TXN000023","CUST0021","CARD0021","2024-06-11T07:10:51","5.25","groceries","DailyFresh","Melbourne","VIC","AUS","purchase","Visa","18","female","low","student","AUD","true","ANZ","completed","3008","USA"
"TXN000024","CUST0022","CARD0022","2024-06-11T14:55:43","34999.99","automotive","AutoWorld","Tokyo","13","JPN","purchase","Amex","85","male","high","premium","JPY","true","MUFG","completed","160-0023","USA"
"TXN000025","CUST0023","CARD0023","2024-06-12T08:12:08","200","entertainment","CinemaWorld","London","LDN","GBR","purchase","MasterCard","27","female","medium","standard","GBP","true","Barclays","completed","EC2M1HA","USA"
"TXN000026","CUST0024","CARD0024","2024-06-12T15:29:39","56.9","retail","UrbanThreads","Toronto","ON","CAN","purchase","Visa","21","male","low","student","CAD","false","Scotiabank","completed","M5V4A6","CAN"
"TXN000027","CUST0025","CARD0025","2024-06-13T11:33:19","3250","travel","FlyHighAir","Dubai","DU","ARE","purchase","MasterCard","60","male","high","premium","AED","true","MashreqBank","completed","10125","USA"
"TXN000028","CUST0026","CARD0026","2024-06-13T15:05:44","112.99","groceries","FreshMarket","New York","NY","USA","purchase","Visa","27","female","low","student","USD","false","Chase","completed","10015","USA"
"TXN000029","CUST0027","CARD0027","2024-06-14T09:16:16","77.49","retail","StyleDepot","Mumbai","MH","IND","purchase","MasterCard","32","female","medium","standard","INR","false","SBI","completed","400058","IND"
"TXN000030","CUST0028","CARD0028","2024-06-14T14:22:08","300","utilities","PowerGrid","Toronto","ON","CAN","purchase","Visa","41","female","medium","standard","CAD","false","BMO","completed","M4B1B4","CAN"
"TXN000031","CUST0029","CARD0029","2024-06-15T10:31:03","250","healthcare","MedCare","Paris","IDF","FRA","purchase","Visa","47","female","medium","standard","EUR","true","BNPParibas","completed","75016","USA"
"TXN000032","CUST0030","CARD0030","2024-06-15T16:12:37","850","jewelry","GenevaJewels","Geneva","GE","CHE","purchase","Amex","79","male","high","premium","CHF","true","CreditSuisse","completed","1202","USA"
"TXN000033","CUST0031","CARD0031","2024-06-16T08:09:44","9.99","entertainment","CinemaWorld","London","LDN","GBR","purchase","Visa","21","female","low","student","GBP","true","HSBC","completed","W1A2PD","USA"
"TXN000034","CUST0032","CARD0032","2024-06-16T12:53:11","500","electronics","GadgetStore","Berlin","BE","DEU","purchase","Visa","36","male","medium","standard","EUR","true","DeutscheBank","completed","10179","USA"
"TXN000035","CUST0033","CARD0033","2024-06-17T09:34:46","29.99","groceries","FreshMarket","New York","NY","USA","purchase","Visa","23","female","low","student","USD","false","Chase","completed","10011","USA"
"TXN000036","CUST0034","CARD0034","2024-06-17T16:17:34","150","dining","UrbanBistro","London","LDN","GBR","purchase","MasterCard","46","male","medium","standard","GBP","true","Barclays","pending","EC3M1AJ","USA"
"TXN000037","CUST0035","CARD0035","2024-06-18T10:40:02","72.5","retail","QuickMart","Chicago","IL","USA","purchase","Visa","33","female","medium","standard","USD","false","Bank of America","completed","60612","USA"
"TXN000038","CUST0036","CARD0036","2024-06-18T14:14:56","1300","travel","FlyHighAir","Dubai","DU","ARE","purchase","Amex","57","female","high","premium","AED","true","DubaiIslamic","completed","10126","USA"
"TXN000039","CUST0037","CARD0037","2024-06-19T09:23:28","99.99","groceries","GreenGrocer","Berlin","BE","DEU","purchase","MasterCard","39","female","medium","standard","EUR","true","Commerzbank","completed","10435","USA"
"TXN000040","CUST0038","CARD0038","2024-06-19T18:36:55","700","healthcare","MedCare","Paris","IDF","FRA","purchase","Visa","60","other","high","premium","EUR","true","BNPParibas","completed","75017","USA"
"TXN000041","CUST0039","CARD0039","2024-06-20T10:08:12","59.99","retail","StyleDepot","Mumbai","MH","IND","purchase","Visa","31","female","medium","standard","INR","false","ICICI","completed","400051","IND"
"TXN000042","CUST0040","CARD0040","2024-06-20T14:41:03","25000","jewelry","GenevaJewels","Geneva","GE","CHE","purchase","Amex","120","prefer_not_to_say","high","premium","CHF","true","UBS","completed","1203","USA"
"TXN000043","CUST0041","CARD0041","2024-06-21T09:41:28","35.99","groceries","DailyFresh","Melbourne","VIC","AUS","purchase","Visa","20","male","low","student","AUD","true","Westpac","completed","3007","USA"
"TXN000044","CUST0042","CARD0042","2024-06-21T16:08:59","200","retail","UrbanThreads","Toronto","ON","CAN","purchase","MasterCard","29","female","medium","standard","CAD","false","TD","completed","M5V4B7","CAN"
"TXN000045","CUST0043","CARD0043","2024-06-22T10:34:17","95","groceries","FreshMarket","New York","NY","USA","purchase","Visa","18","female","low","student","USD","false","Chase","completed","10017","USA"
"TXN000046","CUST0044","CARD0044","2024-06-22T15:20:03","-20.99","groceries","FreshMarket","New York","NY","USA","refund","Visa","18","female","low","student","USD","false","Chase","completed","10017","USA"
"TXN000047","CUST0045","CARD0045","2024-06-23T09:19:44","500","payment","","","","","payment","Visa","41","male","medium","standard","USD","false","Chase","completed","10019","USA"
"TXN000048","CUST0046","CARD0046","2024-06-23T15:58:33","10000","travel","FlyHighAir","Dubai","DU","ARE","purchase","Amex","54","female","high","premium","AED","true","EmiratesNBD","completed","10128","USA"
"TXN000049","CUST0047","CARD0047","2024-06-24T10:14:18","100","retail","QuickMart","Chicago","IL","USA","purchase","Visa","35","male","medium","standard","USD","false","Bank of America","completed","60613","USA"
"TXN000050","CUST0048","CARD0048","2024-06-24T17:18:35","1.01","groceries","GreenGrocer","Berlin","BE","DEU","purchase","MasterCard","18","female","low","student","EUR","true","DeutscheBank","completed","10179","USA"
"TXN000051","CUST0008","CARD0014","2024-07-03T09:18:23","39.99","groceries","MarketFresh","Miami","FL","USA","purchase","Visa","36","female","medium","standard","USD","false","Bank of America","completed","33157","USA"
"TXN000052","CUST0011","CARD0026","2024-07-04T19:56:49","89.5","retail","UrbanStyle","London","LDN","GBR","purchase","MasterCard","27","male","low","student","GBP","true","HSBC","completed","W1A4RT","USA"
"TXN000053","CUST0004","CARD0010","2024-07-07T13:33:07","12.75","dining","NoodleHouse","Sydney","NSW","AUS","purchase","Visa","24","female","medium","student","AUD","true","ANZ","completed","2000","GBR"
"TXN000054","CUST0002","CARD0015","2024-07-09T21:46:10","3299.99","travel","FlyAway","Tokyo","13","JPN","purchase","Amex","55","male","high","premium","JPY","true","MUFG","completed","1050011","USA"
"TXN000055","CUST0006","CARD0021","2024-07-10T10:11:08","28.49","entertainment","Cineplex","Toronto","ON","CAN","purchase","Visa","21","prefer_not_to_say","medium","student","CAD","true","RBC","completed","M5V1J1","GBR"
"TXN000056","CUST0007","CARD0016","2024-07-11T15:37:54","82.85","utilities","PowerGrid","Berlin","BE","DEU","purchase","MasterCard","43","female","medium","standard","EUR","true","Deutsche Bank","completed","10405","USA"
"TXN000057","CUST0001","CARD0003","2024-07-13T12:25:41","150","electronics","TechCity","Dallas","TX","USA","purchase","Visa","35","male","medium","standard","USD","false","Chase","completed","75201","USA"
"TXN000058","CUST0012","CARD0027","2024-07-14T17:44:52","2520","jewelry","GoldSphere","Dubai","DXB","ARE","purchase","MasterCard","68","female","high","premium","AED","true","Emirates NBD","completed","22343","GBR"
"TXN000059","CUST0013","CARD0028","2024-07-15T13:17:29","94.3","groceries","SuperMart","Chicago","IL","USA","purchase","Visa","33","male","medium","standard","USD","false","Citibank","completed","60601","USA"
"TXN000060","CUST0014","CARD0029","2024-07-15T08:05:33","-18.75","retail","UrbanStyle","London","LDN","GBR","refund","Visa","22","female","low","student","GBP","true","HSBC","completed","W1A3BG","USA"
"TXN000061","CUST0015","CARD0030","2024-07-16T20:22:47","575","automotive","AutoWorks","Melbourne","VIC","AUS","purchase","MasterCard","72","male","high","premium","AUD","true","Westpac","completed","3000","GBR"
"TXN000062","CUST0016","CARD0031","2024-07-17T14:39:02","41.2","dining","BurgerSpot","New York","NY","USA","purchase","MasterCard","26","male","medium","student","USD","false","Wells Fargo","completed","10001","USA"
"TXN000063","CUST0017","CARD0032","2024-07-18T07:48:15","11.5","groceries","GreenMart","Paris","IDF","FRA","purchase","Visa","19","female","low","student","EUR","true","BNP Paribas","completed","75002","USA"
"TXN000064","CUST0018","CARD0033","2024-07-19T21:14:36","2200","travel","SkyWings","Geneva","GE","CHE","purchase","Amex","57","female","high","premium","CHF","true","UBS","completed","1201","USA"
"TXN000065","CUST0019","CARD0034","2024-07-21T08:57:26","41.75","retail","FashionBay","Mumbai","MH","IND","purchase","MasterCard","31","female","medium","standard","INR","true","HDFC","completed","400001","GBR"
"TXN000066","CUST0020","CARD0035","2024-07-22T18:48:18","64.3","entertainment","MovieTime","Melbourne","VIC","AUS","purchase","Visa","23","other","medium","student","AUD","true","Commonwealth Bank","completed","3001","USA"
"TXN000067","CUST0021","CARD0036","2024-07-23T08:29:06","298.99","electronics","ElectroPlus","Berlin","BE","DEU","purchase","Visa","46","male","medium","standard","EUR","true","Commerzbank","completed","10557","USA"
"TXN000068","CUST0022","CARD0037","2024-07-23T22:17:35","-45","groceries","MarketFresh","Miami","FL","USA","refund","Visa","42","female","medium","standard","USD","false","Bank of America","completed","33158","USA"
"TXN000069","CUST0023","CARD0038","2024-07-24T14:26:13","0.01","utilities","UtilityWorks","Chicago","IL","USA","purchase","Visa","39","male","medium","standard","USD","false","Chase","pending","60602","USA"
"TXN000070","CUST0024","CARD0039","2024-07-25T17:45:41","180","healthcare","WellnessCare","Paris","IDF","FRA","purchase","MasterCard","47","female","medium","standard","EUR","true","Societe Generale","completed","75008","USA"
"TXN000071","CUST0025","CARD0040","2024-07-25T13:07:04","11000","travel","FlyAway","Tokyo","13","JPN","purchase","Amex","64","male","high","premium","JPY","true","MUFG","completed","1050031","USA"
"TXN000072","CUST0026","CARD0041","2024-07-27T08:10:42","3975.5","automotive","AutoWorks","Geneva","GE","CHE","purchase","Visa","80","female","high","premium","CHF","true","UBS","completed","1202","USA"
"TXN000073","CUST0027","CARD0042","2024-07-27T21:02:38","75.25","dining","PizzaCorner","New York","NY","USA","purchase","MasterCard","25","male","medium","student","USD","false","Chase","completed","10004","USA"
"TXN000074","CUST0028","CARD0043","2024-07-28T19:19:55","5","entertainment","StagePlay","London","LDN","GBR","purchase","Visa","20","female","low","student","GBP","true","Barclays","completed","SW1A2AA","USA"
"TXN000075","CUST0029","CARD0044","2024-07-29T08:23:17","53.6","retail","MetroMall","Berlin","BE","DEU","purchase","MasterCard","38","male","medium","standard","EUR","true","Deutsche Bank","completed","10785","USA"
"TXN000076","CUST0030","CARD0045","2024-07-30T17:37:29","120.45","retail","UrbanStyle","London","LDN","GBR","purchase","Visa","31","female","medium","standard","GBP","true","HSBC","completed","E1 6AN","USA"
"TXN000077","CUST0031","CARD0046","2024-07-31T09:37:44","2150","travel","GlobeTours","Dubai","DXB","ARE","purchase","Amex","82","male","high","premium","AED","true","Emirates NBD","completed","34567","GBR"
"TXN000078","CUST0032","CARD0047","2024-07-31T21:01:03","159.99","jewelry","Gemstone","Geneva","GE","CHE","purchase","Visa","62","female","high","premium","CHF","true","Credit Suisse","completed","1203","USA"
"TXN000079","CUST0033","CARD0048","2024-08-01T11:21:55","55.25","groceries","SuperMart","Chicago","IL","USA","purchase","MasterCard","29","male","medium","standard","USD","false","Citibank","completed","60603","USA"
"TXN000080","CUST0034","CARD0049","2024-08-01T22:28:32","14.99","dining","BurgerSpot","New York","NY","USA","purchase","Visa","20","male","medium","student","USD","false","Wells Fargo","completed","10005","USA"
"TXN000081","CUST0035","CARD0050","2024-08-02T19:16:49","600","healthcare","WellnessCare","Mumbai","MH","IND","purchase","MasterCard","77","female","high","premium","INR","true","Axis Bank","completed","400002","GBR"
"TXN000082","CUST0036","CARD0051","2024-08-02T13:59:10","9.99","entertainment","Cineplex","Toronto","ON","CAN","purchase","Visa","18","female","low","student","CAD","true","TD Bank","completed","M5V2H1","USA"
"TXN000083","CUST0037","CARD0052","2024-08-03T10:34:34","-77.5","retail","MetroMall","Berlin","BE","DEU","refund","MasterCard","46","male","medium","standard","EUR","true","Commerzbank","completed","10623","USA"
"TXN000084","CUST0038","CARD0053","2024-08-03T22:20:21","225","groceries","GreenMart","Paris","IDF","FRA","purchase","Visa","29","female","medium","standard","EUR","true","BNP Paribas","completed","75003","USA"
"TXN000085","CUST0039","CARD0054","2024-08-04T08:11:46","35000","automotive","AutoWorks","Geneva","GE","CHE","purchase","Amex","120","prefer_not_to_say","high","premium","CHF","true","UBS","completed","1204","USA"
"TXN000086","CUST0040","CARD0055","2024-08-04T19:28:29","500","healthcare","HealthCore","Mumbai","MH","IND","purchase","MasterCard","64","male","high","premium","INR","true","ICICI Bank","completed","400003","GBR"
"TXN000087","CUST0041","CARD0056","2024-08-05T14:15:40","100","groceries","MarketFresh","Miami","FL","USA","purchase","Visa","34","female","medium","standard","USD","false","Bank of America","completed","33159","USA"
"TXN000088","CUST0042","CARD0057","2024-08-05T21:05:10","0.01","","","","","","payment","Visa","41","unknown","unknown","standard","USD","false","Chase","reversed","60604","USA"
"TXN000089","CUST0043","CARD0058","2024-08-06T08:14:36","350","electronics","TechCity","Dallas","TX","USA","purchase","MasterCard","45","male","medium","standard","USD","false","Citibank","completed","75202","USA"
"TXN000090","CUST0044","CARD0059","2024-08-07T16:21:58","-90","dining","PizzaCorner","New York","NY","USA","refund","Visa","26","female","medium","student","USD","false","Wells Fargo","completed","10006","USA"
"TXN000101","CUST0031","CARD0031","2024-07-02T10:14:22","64.2","dining","TasteBistro","Boston","MA","USA","purchase","Visa","22","female","low","student","USD","false","Bank of America","completed","02118","USA"
"TXN000102","CUST0042","CARD0050","2024-07-05T19:20:37","298.99","retail","UrbanStore","San Francisco","CA","USA","purchase","MasterCard","26","male","medium","student","USD","false","Wells Fargo","completed","94105","USA"
"TXN000103","CUST0024","CARD0012","2024-07-06T13:45:15","56.75","groceries","FreshMart","Toronto","ON","CAN","purchase","Visa","20","female","low","student","CAD","false","Scotiabank","completed","M5V2H1","CAN"
"TXN000104","CUST0013","CARD0033","2024-07-07T21:11:07","415.3","entertainment","CinemaNova","Melbourne","VIC","AUS","purchase","MasterCard","23","male","medium","student","AUD","false","Westpac","completed","3006","AUS"
"TXN000105","CUST0020","CARD0018","2024-07-07T17:45:09","49.99","dining","BistroParis","Paris","IDF","FRA","purchase","Visa","19","female","low","student","EUR","false","BNP Paribas","pending","75005","FRA"
"TXN000106","CUST0027","CARD0027","2024-07-08T11:59:12","88.9","groceries","GreenGrocer","London","LND","GBR","purchase","Visa","21","male","medium","student","GBP","false","HSBC","completed","E1 6AN","GBR"
"TXN000107","CUST0052","CARD0063","2024-07-09T14:27:54","490","retail","TechStop","Berlin","BE","DEU","purchase","MasterCard","25","female","medium","student","EUR","true","Deutsche Bank","completed","10115","FRA"
"TXN000108","CUST0018","CARD0022","2024-07-10T09:13:38","45.2","dining","FoodiesSpot","Chicago","IL","USA","purchase","Visa","24","prefer_not_to_say","low","student","USD","false","Chase","completed","60614","USA"
"TXN000109","CUST0034","CARD0040","2024-07-10T19:42:28","317","entertainment","PlayArena","Toronto","ON","CAN","purchase","MasterCard","22","male","low","student","CAD","false","RBC","completed","M4B1B3","CAN"
